code,constituency,name,party,coalition
P102,Bangi,Syahredzan Johan,DAP,PH
P103,Puchong,Yeo Bee Yin,DAP,PH
P104,Subang,Wong Chen,PKR,PH
P105,Petaling Jaya,Lee Chean Chung,PKR,PH
P106,Damansara,Gobind Singh Deo,DAP,PH
P107,Sungai Buloh,Ramanan Ramakrishnan,PKR,PH
P108,Shah Alam,Azli Yusof,AMANAH,PH
P109,Kapar,Halimah Ali,PAS,PN
P110,Klang,Ganabatirau Veraman,DAP,PH
P111,Kota Raja,Mohamad Sabu,AMANAH,PH
P112,Kuala Langat,Ahmad Yunus Hairi,PAS,PN
P113,Sepang,Aiman Athirah Sabu,AMANAH,PH
P114,Kepong,Lim Lip Eng,DAP,PH
P115,Batu (Kuala Lumpur federal constituency),Prabakaran Parameswaran,PKR,PH
P116,Wangsa Maju,Zahir Hassan,PKR,PH
P117,Segambut,Hannah Yeoh Tseow Suan,DAP,PH
P118,Setiawangsa,Vacant since 19 May 2026,VAC,
P119,Titiwangsa,Johari Abdul Ghani,UMNO,BN
P120,Bukit Bintang Bukit Bintang (Kuala Lumpur federal constituency),Fong Kui Lun,DAP,PH
P121,Lembah Pantai,Ahmad Fahmi Mohamed Fadzil,PKR,PH
P122,Seputeh,Teresa Kok Suh Sim,DAP,PH
P123,Cheras,Tan Kok Wai,DAP,PH
P124,Bandar Tun Razak,Wan Azizah Wan Ismail,PKR,PH
P125,Putrajaya,Mohd Radzi Md Jidin,BERSATU,PN
P126,Jelebu,Jalaluddin Alias,UMNO,BN
P127,Jempol,Shamshulkahar Mohd Deli,UMNO,BN
P128,Seremban,Loke Siew Fook,DAP,PH
P129,Kuala Pilah,Adnan Abu Hassan Adnan Abu Hassan),UMNO,BN
P130,Rasah,Cha Kee Chin,DAP,PH
P131,Rembau,Mohamad Hasan Mohamad Hasan),UMNO,BN
P132,Port Dickson,Aminuddin Harun,PKR,PH
P133,Tampin,Mohd Isam Mohd Isa,UMNO,BN
P134,Masjid Tanah,Mas Ermieyati Samsudin,BERSATU,PN
P135,Alor Gajah,Adly Zahari,AMANAH,PH
P136,Tangga Batu,Bakri Jamaluddin,PAS,PN
P137,Hang Tuah Jaya,Adam Adli Abdul Halim,PKR,PH
P138,Kota Melaka,Khoo Poay Tiong,DAP,PH
P139,Jasin,Zulkifli Ismail,PAS,PN
P140,Segamat,Yuneswaran Ramaraj,PKR,PH
P141,Sekijang,Zaliha Mustafa,PKR,PH
P142,Labis,Pang Hok Liong,DAP,PH
P143,Pagoh,Muhyiddin Yassin,BERSATU,PN
P144,Ledang,Syed Ibrahim Syed Noh,PKR,PH
P145,Bakri,Tan Hong Pin,DAP,PH
P146,Muar,Syed Saddiq Syed Abdul Rahman,MUDA,
P147,Parit Sulong,Noraini Ahmad,UMNO,BN
P148,Ayer Hitam,Wee Ka Siong,MCA,BN
P149,Sri Gading,Aminolhuda Hassan,AMANAH,PH
P150,Batu Pahat,Onn Abu Bakar,PKR,PH
P151,Simpang Renggam,Hasni Mohammad,UMNO,BN
P152,Kluang,Wong Shu Qi,DAP,PH
P153,Sembrong,Hishammuddin Hussein,UMNO,BN
P154,Mersing,Muhammad Islahuddin Abas,BERSATU,PN
P155,Tenggara,Manndzri Nasib,UMNO,BN
P156,Kota Tinggi,Mohamed Khaled Nordin,UMNO,BN
P157,Pengerang,Azalina Othman Said,UMNO,BN
P158,Tebrau,Jimmy Puah Wee Tse,PKR,PH
P159,Pasir Gudang,Hassan Abdul Karim,PKR,PH
P160,Johor Bahru,Akmal Nasrullah Mohd Nasir,PKR,PH
P161,Pulai,Suhaizan Kayat since 9 September 2023,AMANAH,PH
P162,Iskandar Puteri,Liew Chin Tong,DAP,PH
P163,Kulai,Teo Nie Ching,DAP,PH
P164,Pontian,Ahmad Maslan,UMNO,BN
P165,Tanjung Piai,Wee Jeck Seng,MCA,BN
P166,Labuan,Suhaili Abdul Rahman,IND,
P167,Kudat,Verdon Bahanda,IND,
P168,Kota Marudu,Wetrom Bahanda,KDM,
